Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
regression_randomforest;testing;featureset_logs -6;regression_randomforest;74962390232802.5;23132970292.4865;152095.267160048;0.435318896450637;0.810497458393;74413647759072.5;22963631463.994;151537.557931999;0.433722651082664;0.811884661937826;212591778332962;28115027221.1812;167675.362594453;0.447822700896571;0.7994548285617
regression_randomforest;testing;featureset_logs -7;regression_randomforest;59975993056556.1;18508252756.2278;136045.039439988;0.389380797591019;0.848382594467382;60102275497127.7;18547222804.2363;136188.188930745;0.389790512367208;0.848063356468509;178780439869781;23643515158.3391;153764.479507912;0.410669900751815;0.831350232616494
regression_randomforest;testing;featureset_logs -8;regression_randomforest;60423488945773.3;18646347460.5071;136551.629285436;0.390830731810481;0.847251339072484;60099954701780.6;18546506619.8983;136185.559513108;0.389782986589416;0.848069223365435;177748486439697;23507040460.186;153320.058897021;0.409482954528925;0.832323709950262
regression_randomforest;testing;featureset_logs -9;regression_randomforest;60655104378107.1;18717822674.9289;136813.093945459;0.391579081903073;0.846665822615947;60125798263277.5;18554481797.0306;136214.83691959;0.389866782808185;0.848003891662796;177320534063926;23450444232.4838;153135.378774742;0.408989715988205;0.832727412215887
regression_randomforest;testing;featureset_logs -10;regression_randomforest;60004440162846.3;18517031372.5802;136077.299255167;0.389473129899616;0.848310681086197;59823500604310;18461194446.6317;135871.978150874;0.388885470873746;0.848768090543305;179661551386121;23760041180.4697;154142.924522891;0.41168064118575;0.83051904967289
regression_randomforest;testing;featureset_logs -11;regression_randomforest;59060598293153.1;18225767101.7291;135002.84108762;0.386397873499383;0.850696683355155;58940127940082;18188590631.1008;134865.083068601;0.386003589903739;0.851001228581426;180112441894717;23819670950.8321;154336.226955411;0.41219690795316;0.830093709073854
regression_randomforest;testing;featureset_logs -12;regression_randomforest;62758520947664.2;19366925149.7189;139165.100329497;0.398310868122738;0.841348452335311;61918110577367.8;19107579255.4753;138230.16767506;0.395634954144714;0.84347298305891;179678728973200;23762312897.3352;154150.293211966;0.411700321275852;0.830502845461361
regression_randomforest;testing;featureset_logs -13;regression_randomforest;60441975287973.2;18652052241.3125;136572.516420078;0.390890513844283;0.847204606186552;60466288689973.9;18659555219.8654;136599.982503167;0.390969125790619;0.847143142678519;176299223267313;23315377010.8196;152693.735990772;0.407810188708295;0.833690849985705
regression_randomforest;testing;featureset_logs -14;regression_randomforest;60009696582885.6;18518653474.1199;136083.259345593;0.389490188549996;0.848297393023288;61000404307861.8;18824380283.247;137201.968948142;0.392692099028367;0.845792915360695;176710323427983;23369744551.7402;152871.660394398;0.408285384263291;0.833303044996977
regression_randomforest;testing;featureset_logs -15;regression_randomforest;60605239764975.1;18702434736.9156;136756.845301856;0.391418090059491;0.84679187877418;60825196005429.2;18770311990.566;137004.788203062;0.392127738900981;0.846235836384404;180865328395270;23919239356.6448;154658.46034616;0.413057519942492;0.829383485218958
regression_randomforest;testing;featureset_logs -16;regression_randomforest;64405803804395.7;19875267336.6443;140979.669940897;0.403504431706386;0.837184173593307;63617121230159.6;19631884348.1437;140113.826398909;0.401026260871521;0.839177938091407;195582968524638;25865630962.724;160827.954543742;0.429534833675275;0.815499826659554
